timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680412764801,670,/payment-methods,200,OK,traffic distribution gojek 1-68,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,365,0,0
1680412765101,762,/choose-vehicle,200,OK,traffic distribution gojek 1-70,text,true,,19169,179,2,2,https://api-staging-builder.engineer.ai/configurations,419,0,0
1680412765012,1408,/top-up,200,OK,traffic distribution gojek 1-72,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,1088,0,706
1680412765864,849,/voucher,200,OK,traffic distribution gojek 1-70,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,474,0,0
1680412766421,741,/pay,200,OK,traffic distribution gojek 1-72,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,443,0,0
1680412766713,686,/payment-methods,200,OK,traffic distribution gojek 1-70,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,415,0,0
1680412767163,555,/destination,200,OK,traffic distribution gojek 1-72,text,true,,19169,179,2,2,https://api-staging-builder.engineer.ai/configurations,301,0,0
1680412767024,1128,/top-up,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,883,0,583
1680412767719,577,/pickup-location,200,OK,traffic distribution gojek 1-72,text,true,,19175,179,2,2,https://api-staging-builder.engineer.ai/configurations,332,0,0
1680412768153,561,/pay,200,OK,traffic distribution gojek 1-74,text,true,,19182,179,2,2,https://api-staging-builder.engineer.ai/configurations,311,0,0
1680412768296,674,/choose-vehicle,200,OK,traffic distribution gojek 1-72,text,true,,19169,179,2,2,https://api-staging-builder.engineer.ai/configurations,388,0,0
1680412768715,596,/destination,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,325,0,0
1680412768971,620,/voucher,200,OK,traffic distribution gojek 1-72,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,340,0,0
1680412769311,686,/pickup-location,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,395,0,0
1680412769592,571,/payment-methods,200,OK,traffic distribution gojek 1-72,text,true,,19169,179,4,4,https://api-staging-builder.engineer.ai/configurations,337,0,0
1680412769017,1198,/destination,200,OK,traffic distribution gojek 1-76,text,true,,19169,179,3,3,https://api-staging-builder.engineer.ai/configurations,925,0,580
1680412769997,643,/choose-vehicle,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,345,0,0
1680412770216,594,/pickup-location,200,OK,traffic distribution gojek 1-76,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,333,0,0
1680412770640,592,/voucher,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,318,0,0
1680412770021,1258,/top-up,200,OK,traffic distribution gojek 1-77,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,995,0,630
1680412770810,582,/choose-vehicle,200,OK,traffic distribution gojek 1-76,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,326,0,0
1680412771233,564,/payment-methods,200,OK,traffic distribution gojek 1-74,text,true,,19176,179,4,4,https://api-staging-builder.engineer.ai/configurations,320,0,0
1680412771280,563,/pay,200,OK,traffic distribution gojek 1-77,text,true,,19176,179,3,3,https://api-staging-builder.engineer.ai/configurations,315,0,0
1680412771393,561,/voucher,200,OK,traffic distribution gojek 1-76,text,true,,19176,179,2,2,https://api-staging-builder.engineer.ai/configurations,321,0,0
